0_0: PFC10_API0036
0_2590: PF3D7_0919600
0_2591: PF3D7_0524800
0_2592: PF3D7_0306400
0_2593: PF3D7_1235400
0_2594: PF3D7_1141000
0_2595: PF3D7_1344900
0_2596: PF3D7_0930000
0_2597: PF3D7_0726500
0_2598: PF3D7_0522100
0_2599: PF3D7_1238700
0_2600: PF3D7_0707600
0_2601: PF3D7_1360400
0_2602: PF3D7_0103500
0_2603: PF3D7_1349600
0_2604: PF3D7_1037200
0_2605: PF3D7_1015200.3
0_2606: PF3D7_1213400
0_2607: PF3D7_1350700
0_2608: PF3D7_1340500
0_2609: PF3D7_0215400
0_2610: PF3D7_0832400
0_2611: PF3D7_1350800
0_2612: PF3D7_0414200.2
0_2613: PF3D7_0832200.1
0_2614: PF3D7_1213700
0_2615: PF3D7_0423300
0_2616: PF3D7_1205500
0_2617: PF3D7_0314100.2
0_2618: PF3D7_0111900
0_2619: PF3D7_0221600
0_2620: PF3D7_1134300
0_2621: PF3D7_1039400
0_2622: PF3D7_1148800
0_2623: PF3D7_0215500
0_2624: PF3D7_1114100.1
0_2625: PF3D7_0604900
0_2626: PF3D7_0508400
0_2627: PF3D7_0523100
0_2628: PF3D7_1145700
0_2629: PF3D7_0207100
0_2630: PF3D7_0721900
0_2631: PF3D7_1129900
0_2632: PF3D7_1437600
0_2633: PF3D7_0509000
0_2634: PF3D7_0604000
0_2635: PF3D7_1014300
0_2636: PF3D7_0409000
0_2637: PF3D7_0627600
0_2638: PF3D7_1464300
0_2639: PF3D7_1025200
0_2640: PF3D7_0923900
0_2641: PF3D7_1411100.2
0_2642: PF3D7_0310300
0_2643: PF3D7_1332400
0_2644: PF3D7_1357600
0_2645: PF3D7_0924400
0_2646: PF3D7_1432100
0_2647: PF3D7_0822200
0_2648: PF3D7_0911000
0_2649: PF3D7_1002800
0_2650: PF3D7_1358900
0_2651: PF3D7_0824200
0_2652: PF3D7_1343500
0_2653: PF3D7_1351200
0_2654: PF3D7_1306900
0_2655: PF3D7_1470300
0_2656: PF3D7_0618400
0_2657: PF3D7_0222800
0_2658: PF3D7_1013000
0_2659: PF3D7_0504900
0_2660: PF3D7_0316300.2
0_2661: PF3D7_1418300
0_2662: PF3D7_0829400
0_2663: PF3D7_0526000
0_2664: PF3D7_1217600
0_2665: PF3D7_0104100
0_2666: PF3D7_0903400
0_2667: PF3D7_0806700
0_2668: PF3D7_0914100
0_2669: PF3D7_0532200
0_2670: PF3D7_1007800
0_2671: PF3D7_0216900
0_2672: PF3D7_1031300
0_2673: PF3D7_1137800
0_2674: PF3D7_1474800
0_2675: PF3D7_1250700
0_2676: PF3D7_1254300
0_2677: PF3D7_0607000
0_2678: PF3D7_1352700
0_2679: PF3D7_1200900
0_2680: PF3D7_0407100
0_2681: PF3D7_1117600.2
0_2682: PF3D7_1426900
0_2683: PF3D7_1312100
0_2684: PF3D7_0821300
0_2685: PF3D7_0931800
0_2686: PF3D7_0422600
0_2687: PF3D7_0313900
0_2688: PF3D7_0217000
0_2689: PF3D7_1320100
0_2690: PF3D7_0608300
0_2691: PF3D7_0403100
0_2692: PF3D7_0926600
0_2693: PF3D7_1147500
0_2694: PF3D7_1361500.2
0_2695: PF3D7_1201100
0_2696: PF3D7_0220700
0_2697: PF3D7_0827600
0_2698: PF3D7_0526200.2
0_2699: PF3D7_0706500
0_2700: PF3D7_1345600
0_2701: PF3D7_1135900
0_2702: PF3D7_1338500
0_2703: PF3D7_0707900
0_2704: PF3D7_1008500
0_2705: PF3D7_1004400
0_2706: PF3D7_1368500
0_2707: PF3D7_1477100
0_2708: PF3D7_1349900
0_2709: PF3D7_1476500
0_2710: PF3D7_0303300
0_2711: PF3D7_1444400
0_2712: PF3D7_1120400
0_2713: PF3D7_1132500
0_2714: PF3D7_0315800
0_2715: PF3D7_1440600
0_2716: PF3D7_0631900
0_2717: PF3D7_1405100
0_2718: PF3D7_1303400
0_2719: PF3D7_0716500
0_2720: PF3D7_1248600
0_2721: PF3D7_0822000
0_2722: PF3D7_1417600
0_2723: PF3D7_1408500
0_2724: PF3D7_0703400
0_2725: PF3D7_1447400
0_2726: PF3D7_0308300
0_2727: PF3D7_1326100
0_2728: PF3D7_1009600
0_2729: PF3D7_0420500
0_2730: PF3D7_1353100
0_2731: PF3D7_0106000
0_2732: PF3D7_1319200
0_2733: PF3D7_1307900
0_2734: PF3D7_0402100
0_2735: PF3D7_1022600
0_2736: PF3D7_0804000
0_2737: PF3D7_0820600
0_2738: PF3D7_1015700.1
0_2739: PF3D7_0518000
0_2740: PF3D7_0521400
0_2741: PF3D7_1445600
0_2742: PF3D7_0418900
0_2743: PF3D7_1254100
0_2744: PF3D7_1307100
0_2745: PF3D7_0727700
0_2746: PF3D7_0409300
0_2747: PF3D7_0506000
0_2748: PF3D7_1147100
0_2749: PF3D7_0821900
0_2750: PF3D7_0513600
0_2751: PF3D7_1147800.1
0_2752: PF3D7_0211500
0_2753: PF3D7_1202800
0_2754: PF3D7_0717000
0_2755: PF3D7_1140100
0_2756: PF3D7_0829100
0_2757: PF3D7_1321300
0_2758: PF3D7_0928400
0_2759: PF3D7_0915700
0_2760: PF3D7_1422000
0_2761: PF3D7_0814000
0_2762: PF3D7_0720500
0_2763: PF3D7_0107100
0_2764: PF3D7_0920300
0_2765: PF3D7_1442500
0_2766: PF3D7_1305300
0_2767: PF3D7_0821600
0_2768: PF3D7_0920500
0_2769: PF3D7_0221400
0_2770: PF3D7_0532300
0_2771: PF3D7_1466500
0_2772: PF3D7_0206900.2
0_2773: PF3D7_0503500
0_2774: PF3D7_0807100
0_2775: PF3D7_1136200
0_2776: PF3D7_1036600.1
0_2777: PF3D7_0109700
0_2778: PF3D7_0927000
0_2779: PF3D7_1459400
0_2780: PF3D7_0418800
0_2781: PF3D7_1121800
0_2782: PF3D7_1118900
0_2783: PF3D7_1015400
0_2784: PF3D7_1038300
0_2785: PF3D7_0930400.1
0_2786: PF3D7_0423900
0_2787: PF3D7_1308100
0_2788: PF3D7_0610700
0_2789: PF3D7_0905700.2
0_2790: PF3D7_0814600
0_2791: PF3D7_0719800
0_2792: PF3D7_0935300
0_2793: PF3D7_1369400
0_2794: PF3D7_0929700
0_2795: PF3D7_0708100
0_2796: PF3D7_0930700
0_2797: PF3D7_0217700
0_2798: PF3D7_1411100.1
0_2799: PF3D7_1431300
0_2800: PF3D7_1209500.2
0_2801: PF3D7_0614600
0_2802: PF3D7_1409600
0_2803: PF3D7_1123600
0_2804: PF3D7_1034500
0_2805: PF3D7_0607400
0_2806: PF3D7_1120200
0_2807: PF3D7_0718800
0_2808: PF3D7_1440100
0_2809: PF3D7_1140600
0_2810: PF3D7_1322900
0_2811: PF3D7_1309900
0_2812: PF3D7_1114900
0_2813: PF3D7_0806300
0_2814: PF3D7_1234600
0_2815: PF3D7_1462300
0_2816: PF3D7_0928800
0_2817: PF3D7_1455200.2
0_2818: PF3D7_0310500
0_2819: PF3D7_1101000
0_2820: PF3D7_1442800
0_2821: PF3D7_0217400
0_2822: PF3D7_1113200
0_2823: PF3D7_0210200
0_2824: PF3D7_0520700
0_2825: PF3D7_0613500
0_2826: PF3D7_1435600
0_2827: PF3D7_0717800
0_2828: PF3D7_0625400
0_2829: PF3D7_1250900
0_2830: PF3D7_0832200.2
0_2831: PF3D7_1021300
0_2832: PF3D7_0815400
0_2833: PF3D7_1023300
0_2834: PF3D7_1475900
0_2835: PF3D7_0923800.2
0_2836: PF3D7_0411900
0_2837: PF3D7_0508900
0_2838: PF3D7_0706000
0_2839: PF3D7_1131300
0_2840: PF3D7_1401200
0_2841: PF3D7_1469900
0_2842: PF3D7_0106500
0_2843: PF3D7_1236100
0_2844: PF3D7_1317400
0_2845: PF3D7_1433900
0_2846: PF3D7_1362900
0_2847: PF3D7_1362800
0_2848: PF3D7_1011400
0_2849: PF3D7_1302400
0_2850: PF3D7_1135800
0_2851: PF3D7_0913300
0_2852: PF3D7_0202300
0_2853: PF3D7_1211200
0_2854: PF3D7_1458800
0_2855: PF3D7_1358400
0_2856: PF3D7_1143600
0_2857: PF3D7_0716900
0_2858: PF3D7_0630800
0_2859: PF3D7_0816300
0_2860: PF3D7_1122900
0_2861: PF3D7_1352400
0_2862: PF3D7_1336300
0_2863: PF3D7_1305900
0_2864: PF3D7_1348500
0_2865: PF3D7_1011500
0_2866: PF3D7_1436500
0_2867: PF3D7_1411700
0_2868: PF3D7_0626700
0_2869: PF3D7_0205200
0_2870: PF3D7_1438500
0_2871: PF3D7_1133900
0_2872: PF3D7_0515200
0_2873: PF3D7_0918700
0_2874: PF3D7_0415700
0_2875: PF3D7_0415100
0_2876: PF3D7_1244400
0_2877: PF3D7_1458200
0_2878: PF3D7_1011200.2
0_2879: PF3D7_0813000
0_2880: PF3D7_1127600
0_2881: PF3D7_1104400
0_2882: PF3D7_1347600
0_2883: PF3D7_0721600
0_2884: PF3D7_0732600
0_2885: PF3D7_0725200
0_2886: PF3D7_0425500
0_2887: PF3D7_0725100
0_2888: PF3D7_0828900
0_2889: PF3D7_0501100.1
0_2890: PF3D7_0515800
0_2891: PF3D7_1119700
0_2892: PF3D7_0822700
0_2893: PF3D7_1103500
0_2894: PF3D7_0805900
0_2895: PF3D7_1233200.1
0_2896: PF3D7_1453900
0_2897: PF3D7_0213000
0_2898: PF3D7_0906500
0_2899: PF3D7_1002400.1
0_2900: PF3D7_1245200
0_2901: PF3D7_1220800
0_2902: PF3D7_0912000
0_2903: PF3D7_1107100
0_2904: PF3D7_0714600
0_2905: PF3D7_0928000.1
0_2906: PF3D7_1348900
0_2907: PF3D7_1415100
0_2908: PF3D7_1359900
0_2909: PF3D7_1341200
0_2910: PF3D7_1004100
0_2911: PF3D7_1422700
0_2912: PF3D7_0419100
0_2913: PF3D7_1326900
0_2914: PF3D7_1017800
0_2915: PF3D7_1031400.2
0_2916: PF3D7_1472400
0_2917: PF3D7_0612500
0_2918: PF3D7_1359100
0_2919: PF3D7_1225900
0_2920: PF3D7_0625000.2
0_2921: PF3D7_0933700
0_2922: PF3D7_1122500
0_2923: PF3D7_0625600
0_2924: PF3D7_0306500
0_2925: PF3D7_1026300
0_2926: PF3D7_0212900
0_2927: PF3D7_1015000
0_2928: PF3D7_1143800
0_2929: PF3D7_1038100
0_2930: PF3D7_1121900
0_2931: PF3D7_1442300
0_2932: PF3D7_1462200
0_2933: PF3D7_1003700
0_2934: PF3D7_0709400
0_2935: PF3D7_1404200
0_2936: PF3D7_1136500.2
0_2937: PF3D7_1404700
0_2938: PF3D7_1304300
0_2939: PF3D7_1416300
0_2940: PF3D7_1324500
0_2941: PF3D7_1031900
0_2942: PF3D7_1412200
0_2943: PF3D7_1428900
0_2944: PF3D7_0521200
0_2945: PF3D7_0820100
0_2946: PF3D7_0732800
0_2947: PF3D7_0318800
0_2948: PF3D7_1354700
0_2949: PF3D7_1122600
0_2950: PF3D7_1451200
0_2951: PF3D7_0221700
0_2952: PF3D7_0729700
0_2953: PF3D7_0620600
0_2954: PF3D7_1245500
0_2955: PF3D7_1350300
0_2956: PF3D7_1135000.2
0_2957: PF3D7_0218600
0_2958: PF3D7_1137100
0_2959: PF3D7_1402100
0_2960: PF3D7_0516300
0_2961: PF3D7_0812800
0_2962: PF3D7_1415700
0_2963: PF3D7_0108800
0_2964: PF3D7_0921100
0_2965: PF3D7_1427700
0_2966: PF3D7_0936900
0_2967: PF3D7_0107200
0_2968: PF3D7_1463800
0_2969: PF3D7_0704300
0_2970: PF3D7_1449300
0_2971: PF3D7_0403200
0_2972: PF3D7_0505600
0_2973: PF3D7_1142800
0_2974: PF3D7_1451000
0_2975: PF3D7_1343100
0_2976: PF3D7_0601600
0_2977: PF3D7_1026500
0_2978: PF3D7_0103600
0_2979: PF3D7_1422200
0_2980: PF3D7_1409200.1
0_2981: PF3D7_0518900
0_2982: PF3D7_1020000
0_2983: PF3D7_1105300
0_2984: PF3D7_1439400
0_2985: PF3D7_1210600
0_2986: PF3D7_1442700
0_2987: PF3D7_0717900
0_2988: PF3D7_0921700
0_2989: PF3D7_1408300
0_2990: PF3D7_0504500
0_2991: PF3D7_1361300
0_2992: PF3D7_0832700
0_2993: PF3D7_1003800
0_2994: PF3D7_0721800
0_2995: PF3D7_1473600
0_2996: PF3D7_1246000
0_2997: PF3D7_1312700
0_2998: PF3D7_0519300
0_2999: PF3D7_1333800
0_3000: PF3D7_1471600
0_3001: PF3D7_0210100.1
0_3002: PF3D7_0320600
0_3003: PF3D7_1349800
0_3004: PF3D7_1003300
0_3005: PF3D7_0731200
0_3006: PF3D7_1427900
0_3007: PF3D7_0526800
0_3008: PF3D7_1115800
0_3009: PF3D7_0825800
0_3010: PF3D7_1359000
0_3011: PF3D7_1438800
0_3012: PF3D7_1009300
0_3013: PF3D7_0717100
0_3014: PF3D7_1104000
0_3015: PF3D7_1124800
0_3016: PF3D7_1119600
0_3017: PF3D7_0727500
0_3018: PF3D7_1204400
0_3019: PF3D7_1479100
0_3020: PF3D7_1137700
0_3021: PF3D7_0707700
0_3022: PF3D7_1419800.1
0_3023: PF3D7_1465700
0_3024: PF3D7_1403500
0_3025: PF3D7_0105400.1
0_3026: PF3D7_1304900
0_3027: PF3D7_0407500
0_3028: PF3D7_0908900
0_3029: PF3D7_1476800
0_3030: PF3D7_0406900
0_3031: PF3D7_1235500
0_3032: PF3D7_1348400
0_3033: PF3D7_0717700
0_3034: PF3D7_1305800
0_3035: PF3D7_0935700
0_3036: PF3D7_0921500
0_3037: PF3D7_0906600
0_3038: PF3D7_1369300
0_3039: PF3D7_0403600
0_3040: PF3D7_0313600
0_3041: PF3D7_0609200
0_3042: PF3D7_1330100
0_3043: PF3D7_0911700
0_3044: PF3D7_0526300
0_3045: PF3D7_1209700
0_3046: PF3D7_1141100
0_3047: PF3D7_0831750
0_3048: PF3D7_1118000
0_3049: PF3D7_0729800
0_3050: PF3D7_0910400
0_3051: PF3D7_0624100
0_3052: PF3D7_1124100
0_3053: PF3D7_1317500
0_3054: PF3D7_0605100
0_3055: PF3D7_1021200
0_3056: PF3D7_1239300
0_3057: PF3D7_1010200
0_3058: PF3D7_0411800
0_3059: PF3D7_1128000.1
0_3060: PF3D7_1137200
0_3061: PF3D7_1029700
0_3062: PF3D7_0615600
0_3063: PF3D7_0921000.2
0_3064: PF3D7_1001800
0_3065: PF3D7_1439100
0_3066: PF3D7_0406600
0_3067: PF3D7_1226400
0_3068: PF3D7_1102300
0_3069: PF3D7_1460800
0_3070: PF3D7_0527900
0_3071: PF3D7_1419600
0_3072: PF3D7_0411100
0_3073: PF3D7_0801900
0_3074: PF3D7_1350500
0_3075: PF3D7_0623300
0_3076: PF3D7_0205300
0_3077: PF3D7_1228700
0_3078: PF3D7_1031500
0_3079: PF3D7_1033000
0_3080: PF3D7_0706600
0_3081: PF3D7_1454800
0_3082: PF3D7_1321900
0_3083: PF3D7_1353000
0_3084: PF3D7_1421900
0_3085: PF3D7_0412000
0_3086: PF3D7_1464000
0_3087: PF3D7_0208700.2
0_3088: PF3D7_1471000
0_3089: PF3D7_1331000
0_3090: PF3D7_1454700
0_3091: PF3D7_0109800
0_3092: PF3D7_0307700
0_3093: PF3D7_1467500
0_3094: PF3D7_0422000
0_3095: PF3D7_0407000
0_3096: PF3D7_1205900
0_3097: PF3D7_0512000
0_3098: PF3D7_1019600
0_3099: PF3D7_1244500
0_3100: PF3D7_1216400
0_3101: PF3D7_0524400
0_3102: PF3D7_1327900
0_3103: PF3D7_0905500
0_3104: PF3D7_1016200
0_3105: PF3D7_0401700
0_3106: PF3D7_0919500
0_3107: PF3D7_1238200
0_3108: PF3D7_1423600
0_3109: PF3D7_0322600
0_3110: PF3D7_1338200
0_3111: PF3D7_1129300
0_3112: PF3D7_0912400
0_3113: PF3D7_1442000
0_3114: PF3D7_0713200
0_3115: PF3D7_0526400
0_3116: PF3D7_1024200
0_3117: PF3D7_0916300
0_3118: PF3D7_1352800
0_3119: PF3D7_0513900
0_3120: PF3D7_0322400
0_3121: PF3D7_0505700
0_3122: PF3D7_0501100.2
0_3123: PF3D7_1104500
0_3124: PF3D7_1447600
0_3125: PF3D7_0923100
0_3126: PF3D7_1479300
0_3127: PF3D7_0401500
0_3128: PF3D7_0602100
0_3129: PF3D7_1237900
0_3130: PF3D7_1412900.1
0_3131: PF3D7_0520500
0_3132: PF3D7_0806400
0_3133: PF3D7_0619000.1
0_3134: PF3D7_1001100.2
0_3135: PF3D7_0934700
0_3136: PF3D7_1024500
0_3137: PF3D7_1027200
0_3138: PF3D7_0109900.1
0_3139: PF3D7_0306600
0_3140: PF3D7_1000700
0_3141: PF3D7_1425200
0_3142: PF3D7_0730400
0_3143: PF3D7_0614900
0_3144: PF3D7_1468000
0_3145: PF3D7_1127700
0_3146: PF3D7_0103000
0_3147: PF3D7_1009000
0_3148: PF3D7_0805000
0_3149: PF3D7_0624700
0_3150: PF3D7_1338400
0_3151: PF3D7_0615000
0_3152: PF3D7_0910500
0_3153: PF3D7_1325700
0_3154: PF3D7_1357400
0_3155: PF3D7_1220300
0_3156: PF3D7_0526600
0_3157: PF3D7_1318900
0_3158: PF3D7_1210300
0_3159: PF3D7_0602500
0_3160: PF3D7_1024900
0_3161: PF3D7_0720700
0_3162: PF3D7_1136100
0_3163: PF3D7_1101900
0_3164: PF3D7_1352500
0_3165: PF3D7_1409400
0_3166: PF3D7_1351800.1
0_3167: PF3D7_1108800
0_3168: PF3D7_1331500
0_3169: PF3D7_1136000
0_3170: PF3D7_0606500
0_3171: PF3D7_1348800
0_3172: PF3D7_0417300
0_3173: PF3D7_0213300
0_3174: PF3D7_0908200
0_3175: PF3D7_1147300
0_3176: PF3D7_1328000
0_3177: PF3D7_0808300
0_3178: PF3D7_1324100
0_3179: PF3D7_1468200
0_3180: PF3D7_1427300
0_3181: PF3D7_0312500
0_3182: PF3D7_0204000
0_3183: PF3D7_1336600
0_3184: PF3D7_1479900
0_3185: PF3D7_0908000
0_3186: PF3D7_0321300
0_3187: PF3D7_0521600
0_3188: PF3D7_0824000
0_3189: PF3D7_1431100
0_3190: PF3D7_1371800
0_3191: PF3D7_0314800
0_3192: PF3D7_1471700
0_3193: PF3D7_0502200
0_3194: PF3D7_1351800.2
0_3195: PF3D7_1206100
0_3196: PF3D7_0819000
0_3197: PF3D7_1301900
0_3198: PF3D7_0728100
0_3199: PF3D7_0914900
0_3200: PF3D7_0813300
0_3201: PF3D7_1465800
0_3202: PF3D7_1106700
0_3203: PF3D7_1126400
0_3204: PF3D7_1476300
0_3205: PF3D7_0523400
0_3206: PF3D7_1145200
0_3207: PF3D7_0511900
0_3208: PF3D7_0813200
0_3209: PF3D7_1454600
0_3210: PF3D7_0313200
0_3211: PF3D7_0220200
0_3212: PF3D7_1460500
0_3213: PF3D7_1472300
0_3214: PF3D7_0506400
0_3215: PF3D7_0703900
0_3216: PF3D7_1005200
0_3217: PF3D7_1425900
0_3218: PF3D7_0817000
0_3219: PF3D7_0820300
0_3220: PF3D7_1028000
0_3221: PF3D7_1346400
0_3222: PF3D7_1030800
0_3223: PF3D7_0607200
0_3224: PF3D7_1343200
0_3225: PF3D7_0527600
0_3226: PF3D7_0921300
0_3227: PF3D7_1104300
0_3228: PF3D7_0622700
0_3229: PF3D7_1425300
0_3230: PF3D7_1142600
0_3231: PF3D7_1216100
0_3232: PF3D7_0918200
0_3233: PF3D7_0526500
0_3234: PF3D7_0523700
0_3235: PF3D7_0406500
0_3236: PF3D7_1126300
0_3237: PF3D7_1243200
0_3238: PF3D7_1410900
0_3239: PF3D7_0607700
0_3240: PF3D7_1368300
0_3241: PF3D7_0914700
0_3242: PF3D7_0212500
0_3243: PF3D7_1300900
0_3244: PF3D7_0921200
0_3245: PF3D7_1123900
0_3246: PF3D7_1112800
0_3247: PF3D7_1114100.2
0_3248: PF3D7_0613000.3
0_3249: PF3D7_0935000
0_3250: PF3D7_0108500
0_3251: PF3D7_1436400
0_3252: PF3D7_0805500
0_3253: PF3D7_0811600
0_3254: PF3D7_0709700
0_3255: PF3D7_1442200
0_3256: PF3D7_0805600
0_3257: PF3D7_1338600
0_3258: PF3D7_0928500
0_3259: PF3D7_1447100
0_3260: PF3D7_0514800
0_3261: PF3D7_1224400
0_3262: PF3D7_0916600
0_3263: PF3D7_0906800
0_3264: PF3D7_1461700
0_3265: PF3D7_1039300
0_3266: PF3D7_1030200
0_3267: PF3D7_1478500
0_3268: PF3D7_1146200
0_3269: PF3D7_1236600
0_3270: PF3D7_0105100
0_3271: PF3D7_0908100
0_3272: PF3D7_1329900
0_3273: PF3D7_1222900
0_3274: PF3D7_0417700
0_3275: PF3D7_0924500
0_3276: PF3D7_1452800
0_3277: PF3D7_1330000.1
0_3278: PF3D7_1018100
0_3279: PF3D7_1017000
0_3280: PF3D7_1327400
0_3281: PF3D7_0729900
0_3282: PF3D7_1341900
0_3283: PF3D7_1007500
0_3284: PF3D7_0718700
0_3285: PF3D7_1328300
0_3286: PF3D7_1027400
0_3287: PF3D7_1419500
0_3288: PF3D7_1019500.2
0_3289: PF3D7_1113300
0_3290: PF3D7_1450000
0_3291: PF3D7_0827300
0_3292: PF3D7_0618000
0_3293: PF3D7_1149900
0_3294: PF3D7_0914000
0_3295: PF3D7_1310100
0_3296: PF3D7_1022200
0_3297: PF3D7_0517200
0_3298: PF3D7_1243700
0_3299: PF3D7_1425700
0_3300: PF3D7_0628400
0_3301: PF3D7_1433400
0_3302: PF3D7_1016500
0_3303: PF3D7_0621000
0_3304: PF3D7_1119900
0_3305: PF3D7_0315600
0_3306: PF3D7_1351400
0_3307: PF3D7_1032900
0_3308: PF3D7_0605000
0_3309: PF3D7_0807500
0_3310: PF3D7_0825700
0_3311: PF3D7_1362300
0_3312: PF3D7_0321400
0_3313: PF3D7_0619600
0_3314: PF3D7_1223700
0_3315: PF3D7_1006000
0_3316: PF3D7_0715200
0_3317: PF3D7_0217600
0_3318: PF3D7_0212000
0_3319: PF3D7_1245900
0_3320: PF3D7_1320300
0_3321: PF3D7_0811900
0_3322: PF3D7_0418300
0_3323: PF3D7_0526200.1
0_3324: PF3D7_0917000
0_3325: PF3D7_0420000
0_3326: PF3D7_0702900
0_3327: PF3D7_0725400
0_3328: PF3D7_0521000
0_3329: PF3D7_0308700
0_3330: PF3D7_0417000
0_3331: PF3D7_1146100
0_3332: PF3D7_0719000
0_3333: PF3D7_1133300
0_3334: PF3D7_1364000
0_3335: PF3D7_0100500
0_3336: PF3D7_0109200
0_3337: PF3D7_1406100
0_3338: PF3D7_1315500
0_3339: PF3D7_1304000
0_3340: PF3D7_0216300
0_3341: PF3D7_1469300
0_3342: PF3D7_1100600
0_3343: PF3D7_0221200
0_3344: PF3D7_1466900
0_3345: PF3D7_0529100
0_3346: PF3D7_0817300
0_3347: PF3D7_1425400
0_3348: PF3D7_1143000
0_3349: PF3D7_1356000
0_3350: PF3D7_1303600
0_3351: PF3D7_0506100
0_3352: PF3D7_1248100
0_3353: PF3D7_0810900.2
0_3354: PF3D7_1456200
0_3355: PF3D7_0913600
0_3356: PF3D7_1432900
0_3357: PF3D7_0909900
0_3358: PF3D7_0808200
0_3359: PF3D7_1010800
0_3360: PF3D7_1218200
0_3361: PF3D7_1006400
0_3362: PF3D7_1436200
0_3363: PF3D7_1122700
0_3364: PF3D7_1133600
0_3365: PF3D7_1465600
0_3366: PF3D7_1301300
0_3367: PF3D7_0807400
0_3368: PF3D7_0817100
0_3369: PF3D7_1027600
0_3370: PF3D7_1402900
0_3371: PF3D7_0817400
0_3372: PF3D7_1210700
0_3373: PF3D7_1439300
0_3374: PF3D7_0826400
0_3375: PF3D7_0307200
0_3376: PF3D7_1012100
0_3377: PF3D7_0518100
0_3378: PF3D7_1331800
0_3379: PF3D7_1040200
0_3380: PF3D7_1143500
0_3381: PF3D7_0110800
0_3382: PF3D7_0909700
0_3383: PF3D7_0625800
0_3384: PF3D7_1247000.2
0_3385: PF3D7_0810100
0_3386: PF3D7_1445100
0_3387: PF3D7_1464100
0_3388: PF3D7_1026900
0_3389: PF3D7_1432800
0_3390: PF3D7_1247900
0_3391: PF3D7_1407600
0_3392: PF3D7_1217000
0_3393: PF3D7_1352900
0_3394: PF3D7_0311800
0_3395: PF3D7_0928200
0_3396: PF3D7_1448700
0_3397: PF3D7_1210200
0_3398: PF3D7_0913700
0_3399: PF3D7_1003000
0_3400: PF3D7_1236500
0_3401: PF3D7_1135300
0_3402: PF3D7_1249900
0_3403: PF3D7_1414300
0_3404: PF3D7_1207500
0_3405: PF3D7_1354300
0_3406: PF3D7_0202600.1
0_3407: PF3D7_0605600
0_3408: PF3D7_1428800.1
0_3409: PF3D7_1310400
0_3410: PF3D7_1346000
0_3411: PF3D7_1412700
0_3412: PF3D7_1306300
0_3413: PF3D7_0214600
0_3414: PF3D7_0520000
0_3415: PF3D7_1016700
0_3416: PF3D7_0204900
0_3417: PF3D7_1435700.2
0_3418: PF3D7_1004900
0_3419: PF3D7_0212300
0_3420: PF3D7_1472700
0_3421: PF3D7_1226900
0_3422: PF3D7_1252800
0_3423: PF3D7_1022900
0_3424: PF3D7_1024800
0_3425: PF3D7_1433100
0_3426: PF3D7_0317400
0_3427: PF3D7_1102400
0_3428: PF3D7_1149700
0_3429: PF3D7_0502800
0_3430: PF3D7_1112300
0_3431: PF3D7_1149100.2
0_3432: PF3D7_1351100
0_3433: PF3D7_1009400
0_3434: PF3D7_1423500
0_3435: PF3D7_1008300
0_3436: PF3D7_0625200
0_3437: PF3D7_0606200
0_3438: PF3D7_1203600
0_3439: PF3D7_1360900
0_3440: PF3D7_1038900
0_3441: PF3D7_1431200
0_3442: PF3D7_0418600
0_3443: PF3D7_0402800
0_3444: PF3D7_1222000
0_3445: PF3D7_1473200
0_3446: PF3D7_0212400
0_3447: PF3D7_0904100
0_3448: PF3D7_1032700
0_3449: PF3D7_0903600.1
0_3450: PF3D7_1410300
0_3451: PF3D7_1342000
0_3452: PF3D7_0302900
0_3453: PF3D7_1247100
0_3454: PF3D7_0606600
0_3455: PF3D7_0311900
0_3456: PF3D7_1105900
0_3457: PF3D7_1364600
0_3458: PF3D7_1450500
0_3459: PF3D7_1111500
0_3460: PF3D7_1110000
0_3461: PF3D7_0528900
0_3462: PF3D7_1413400
0_3463: PF3D7_0301100
0_3464: PF3D7_0514500
0_3465: PF3D7_1145000
0_3466: PF3D7_0629000
0_3467: PF3D7_0529500
0_3468: PF3D7_0910200
0_3469: PF3D7_0932800
0_3470: PF3D7_1203300
0_3471: PF3D7_0316200
0_3472: PF3D7_1028800
0_3473: PF3D7_1037000
0_3474: PF3D7_0115400
0_3475: PF3D7_0307900
0_3476: PF3D7_0415500
0_3477: PF3D7_1251800
0_3478: PF3D7_1213900
0_3479: PF3D7_1104700.2
0_3480: PF3D7_0932400
0_3481: PF3D7_1445800
0_3482: PF3D7_1425600
0_3483: PF3D7_1440000
0_3484: PF3D7_0308500
0_3485: PF3D7_0933900
0_3486: PF3D7_1371700
0_3487: PF3D7_1018500
0_3488: PF3D7_1207200
0_3489: PF3D7_1136700.1
0_3490: PF3D7_1316400
0_3491: PF3D7_1474600
0_3492: PF3D7_1432700
0_3493: PF3D7_0509900
0_3494: PF3D7_0610000
0_3495: PF3D7_0102100
0_3496: PF3D7_0205600
0_3497: PF3D7_0531300
0_3498: PF3D7_1470700
0_3499: PF3D7_0522000
0_3500: PF3D7_0112000
0_3501: PF3D7_1435000
0_3502: PF3D7_1410200
0_3503: PF3D7_0402600
0_3504: PF3D7_0617600
0_3505: PF3D7_0717400
0_3506: PF3D7_0314100.1
0_3507: PF3D7_1217100.1
0_3508: PF3D7_0213600
0_3509: PF3D7_0615700
0_3510: PF3D7_1145600
0_3511: PF3D7_1323300
0_3512: PF3D7_1132700
0_3513: PF3D7_0623900
